Round Trip,Path Indices,Distance
1,0 -> 4 -> 3 -> 2 -> 4 -> 3 -> 2 -> 1 -> 5 -> 0,105
2,0 -> 5 -> 1 -> 5 -> 4 -> 3 -> 2 -> 0,84
3,0 -> 5 -> 4 -> 2 -> 1 -> 5 -> 4 -> 3 -> 0,116
4,0 -> 5 -> 4 -> 5 -> 3 -> 1 -> 3 -> 2 -> 0,148
5,0 -> 5 -> 4 -> 3 -> 2 -> 1 -> 0,69
6,0 -> 5 -> 4 -> 3 -> 1 -> 5 -> 4 -> 3 -> 2 -> 0,126
7,0 -> 5 -> 4 -> 3 -> 2 -> 1 -> 0,69
8,0 -> 5 -> 4 -> 3 -> 2 -> 1 -> 0,69
9,0 -> 5 -> 3 -> 2 -> 1 -> 5 -> 4 -> 0,107
10,0 -> 3 -> 2 -> 5 -> 4 -> 3 -> 2 -> 1 -> 0,120
11,0 -> 5 -> 4 -> 3 -> 2 -> 1 -> 0,69
12,0 -> 5 -> 4 -> 3 -> 2 -> 1 -> 0,69
13,0 -> 5 -> 1 -> 2 -> 1 -> 2 -> 1 -> 5 -> 4 -> 3 -> 0,147
14,0 -> 3 -> 2 -> 1 -> 4 -> 3 -> 2 -> 4 -> 3 -> 2 -> 1 -> 5 -> 0,157
15,0 -> 2 -> 4 -> 3 -> 2 -> 1 -> 4 -> 3 -> 2 -> 1 -> 5 -> 0,140
16,0 -> 5 -> 4 -> 3 -> 2 -> 1 -> 0,69
17,0 -> 2 -> 1 -> 3 -> 2 -> 1 -> 5 -> 1 -> 5 -> 1 -> 4 -> 0,165
18,0 -> 5 -> 4 -> 3 -> 2 -> 3 -> 2 -> 1 -> 0,88
19,0 -> 5 -> 4 -> 3 -> 2 -> 1 -> 0,69
20,0 -> 5 -> 4 -> 3 -> 2 -> 1 -> 0,69
21,0 -> 4 -> 2 -> 3 -> 2 -> 3 -> 2 -> 1 -> 4 -> 3 -> 2 -> 5 -> 0,153
22,0 -> 2 -> 1 -> 3 -> 2 -> 4 -> 3 -> 2 -> 1 -> 5 -> 0,136
23,0 -> 5 -> 4 -> 3 -> 2 -> 1 -> 0,69
24,0 -> 5 -> 4 -> 3 -> 2 -> 1 -> 0,69
25,0 -> 5 -> 4 -> 3 -> 2 -> 1 -> 0,69